weight,walking,speech,weather,sweat,hunger,skin type,hair type,lips,teeth,eyes,memory,thinking,action efficiency,sleep,skin color,nails,bodytype
average,moderate,slow,all,excessive,moderate hunger,dry,straight soft,dark dry,perfect,dark,forgets quickly,focused,quickly but inconsistently,deep,redish,pale,pitta-kapha
average,slow,moderate,cold,excessive,irregular appetite,cool,dry brittle,red,large,red,never forgets,peacefull,slowly but steadily,sound,redish,pale,pitta-kapha
lean,moderate,moderate,warm,excessive with strong odor,moderate hunger,oily,straight soft,red,perfect,red,never forgets,quick,slowly but steadily,light,dark,soft red,pitta-kapha
average,slow,fast,warm,mild,always hunger,oily,oily thick,dark up red bottom,perfect,red,never forgets,quick,quickly but inconsistently,deep,redish,pale,pitta-kapha
difficult to lose,fast,moderate,warm,excessive,moderate hunger,oily,straight soft,red,perfect,red,never forgets,quick,slowly but steadily,light,redish,dull,pitta-kapha
lean,slow,slow,warm,excessive with strong odor,irregular appetite,oily,straight soft,red,uneven,red,never forgets,peacefull,promptly and decisively,sound,pale,soft red,pitta-kapha
lean,slow,moderate,cold,excessive with strong odor,moderate hunger,cool,straight soft,dark dry,uneven,bright,average,focused,quickly but inconsistently,light,dark,pale,pitta-kapha
lean,slow,moderate,cold,excessive,always hunger,dry,oily thick,red,perfect,bright,average,quick,slowly but steadily,sound,redish,pale,pitta-kapha
average,fast,fast,all,mild,always hunger,dry,oily thick,dark up red bottom,uneven,bright,average,peacefull,slowly but steadily,sound,pale,pale,pitta-kapha
lean,fast,moderate,cold,excessive,moderate hunger,oily,oily thick,red,large,red,forgets quickly,focused,slowly but steadily,deep,pale,dull,pitta-kapha
difficult to lose,fast,moderate,cold,mild,moderate hunger,oily,oily thick,dark up red bottom,perfect,bright,forgets quickly,quick,promptly and decisively,sound,pale,dull,pitta-kapha
lean,moderate,moderate,all,mild,moderate hunger,oily,oily thick,red,uneven,bright,average,quick,slowly but steadily,light,dark,soft red,pitta-kapha
difficult to lose,slow,slow,warm,excessive with strong odor,always hunger,oily,oily thick,red,uneven,dark,forgets quickly,focused,quickly but inconsistently,sound,redish,dull,pitta-kapha
difficult to lose,moderate,moderate,all,excessive with strong odor,irregular appetite,oily,oily thick,red,large,bright,average,focused,promptly and decisively,sound,dark,pale,pitta-kapha
lean,moderate,slow,cold,excessive,irregular appetite,cool,oily thick,dark up red bottom,uneven,bright,forgets quickly,focused,slowly but steadily,deep,pale,soft red,pitta-kapha
difficult to lose,fast,moderate,warm,excessive with strong odor,always hunger,cool,dry brittle,dark up red bottom,uneven,bright,average,peacefull,slowly but steadily,light,pale,soft red,pitta-kapha
average,moderate,moderate,warm,excessive,moderate hunger,oily,dry brittle,red,perfect,dark,never forgets,focused,slowly but steadily,deep,redish,pale,pitta-kapha
lean,moderate,moderate,all,mild,always hunger,oily,dry brittle,red,perfect,bright,forgets quickly,quick,slowly but steadily,sound,pale,soft red,pitta-kapha
average,slow,slow,all,excessive,irregular appetite,oily,straight soft,dark dry,uneven,bright,forgets quickly,peacefull,slowly but steadily,light,dark,soft red,pitta-kapha
average,slow,slow,warm,excessive,moderate hunger,cool,dry brittle,red,large,red,forgets quickly,quick,promptly and decisively,deep,redish,soft red,pitta-kapha
average,moderate,slow,all,excessive,irregular appetite,dry,dry brittle,red,perfect,red,forgets quickly,focused,promptly and decisively,light,pale,pale,pitta-kapha
average,slow,moderate,cold,mild,always hunger,cool,dry brittle,dark dry,uneven,bright,never forgets,quick,slowly but steadily,deep,dark,soft red,pitta-kapha
difficult to lose,moderate,fast,cold,excessive with strong odor,always hunger,dry,straight soft,dark up red bottom,perfect,bright,forgets quickly,focused,quickly but inconsistently,deep,pale,dull,pitta-kapha
average,moderate,moderate,all,excessive with strong odor,moderate hunger,cool,dry brittle,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,sound,pale,soft red,pitta-kapha
difficult to lose,moderate,fast,warm,mild,moderate hunger,dry,dry brittle,dark dry,perfect,bright,never forgets,quick,promptly and decisively,sound,dark,dull,vatta
difficult to lose,slow,fast,all,mild,irregular appetite,dry,straight soft,dark dry,uneven,dark,forgets quickly,focused,slowly but steadily,sound,dark,soft red,vatta
difficult to lose,fast,moderate,warm,mild,always hunger,dry,straight soft,dark dry,perfect,bright,average,quick,quickly but inconsistently,sound,redish,pale,vatta
lean,fast,slow,warm,excessive,irregular appetite,dry,dry brittle,dark dry,perfect,dark,never forgets,peacefull,quickly but inconsistently,sound,pale,pale,vatta
lean,slow,fast,cold,excessive with strong odor,moderate hunger,dry,dry brittle,dark dry,large,bright,forgets quickly,focused,quickly but inconsistently,sound,dark,dull,vatta
lean,fast,fast,cold,excessive,always hunger,dry,dry brittle,red,large,bright,never forgets,quick,quickly but inconsistently,deep,pale,soft red,vatta
difficult to lose,fast,moderate,all,mild,irregular appetite,dry,oily thick,dark dry,large,bright,forgets quickly,peacefull,quickly but inconsistently,light,redish,dull,vatta
lean,moderate,fast,warm,mild,irregular appetite,dry,straight soft,dark dry,uneven,bright,average,quick,quickly but inconsistently,sound,redish,soft red,vatta
difficult to lose,slow,fast,all,mild,always hunger,dry,oily thick,red,large,red,average,quick,quickly but inconsistently,light,dark,dull,vatta
lean,fast,slow,all,excessive,always hunger,oily,dry brittle,dark dry,large,dark,never forgets,focused,slowly but steadily,sound,redish,dull,vatta
lean,moderate,fast,warm,excessive with strong odor,irregular appetite,cool,oily thick,dark up red bottom,uneven,dark,never forgets,quick,promptly and decisively,light,pale,soft red,vatta
difficult to lose,fast,moderate,all,mild,always hunger,oily,dry brittle,red,uneven,dark,forgets quickly,peacefull,quickly but inconsistently,sound,dark,soft red,vatta
average,slow,moderate,warm,excessive,irregular appetite,cool,dry brittle,dark dry,uneven,red,forgets quickly,peaceful,quickly but inconsistently,light,redish,dull,vatta
lean,fast,slow,warm,excessive,irregular appetite,oily,oily thick,dark dry,large,red,forgets quickly,peaceful,slowly but steadily,light,dark,soft red,vatta
lean,moderate,moderate,all,excessive with strong odor,irregular appetite,dry,straight soft,dark up red bottom,perfect,red,never forgets,focused,quickly but inconsistently,light,dark,dull,vatta
lean,moderate,slow,warm,mild,moderate hunger,oily,oily thick,red,perfect,red,forgets quickly,quick,quickly but inconsistently,light,redish,soft red,vatta
lean,fast,fast,all,mild,always hunger,dry,oily thick,dark up red bottom,perfect,dark,forgets quickly,focused,quickly but inconsistently,deep,pale,dull,vatta
difficult to lose,slow,moderate,warm,mild,irregular appetite,dry,oily thick,dark dry,large,red,never forgets,quick,quickly but inconsistently,light,dark,dull,vatta
lean,moderate,fast,warm,excessive with strong odor,moderate hunger,cool,straight soft,dark dry,uneven,bright,forgets quickly,quick,quickly but inconsistently,sound,redish,soft red,vatta
lean,moderate,moderate,all,mild,irregular appetite,cool,straight soft,dark dry,perfect,red,forgets quickly,peacefull,quickly but inconsistently,light,pale,soft red,vatta
difficult to lose,slow,slow,warm,excessive,irregular appetite,oily,dry brittle,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,deep,pale,dull,vatta
difficult to lose,fast,moderate,warm,mild,moderate hunger,oily,straight soft,red,perfect,dark,forgets quickly,peaceful,slowly but steadily,light,dark,soft red,vatta
lean,slow,fast,cold,mild,moderate hunger,dry,dry brittle,dark up red bottom,perfect,bright,never forgets,focused,promptly and decisively,sound,dark,dull,vatta
lean,moderate,moderate,cold,excessive,irregular appetite,cool,dry brittle,red,perfect,dark,forgets quickly,focused,quickly but inconsistently,light,dark,pale,vatta
lean,fast,fast,warm,mild,always hunger,cool,oily thick,dark dry,large,bright,forgets quickly,quick,promptly and decisively,sound,dark,dull,vatta
average,fast,slow,warm,excessive,irregular appetite,dry,dry brittle,red,large,dark,forgets quickly,peacefull,quickly but inconsistently,light,pale,dull,vatta
lean,fast,fast,cold,excessive,always hunger,dry,dry brittle,dark dry,large,bright,never forgets,peaceful,slowly but steadily,light,redish,dull,vatta
lean,fast,slow,all,mild,irregular appetite,cool,dry brittle,dark dry,large,red,forgets quickly,peacefull,promptly and decisively,deep,redish,pale,vatta
difficult to lose,fast,fast,cold,mild,moderate hunger,dry,dry brittle,red,perfect,bright,forgets quickly,quick,quickly but inconsistently,sound,dark,pale,vatta
average,fast,fast,all,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,large,dark,forgets quickly,focused,slowly but steadily,light,pale,dull,vatta
average,fast,slow,warm,excessive,moderate hunger,dry,dry brittle,dark up red bottom,perfect,dark,forgets quickly,peacefull,slowly but steadily,light,pale,soft red,vatta
lean,moderate,fast,cold,mild,always hunger,dry,oily thick,dark up red bottom,uneven,bright,forgets quickly,quick,quickly but inconsistently,sound,pale,pale,vatta
lean,moderate,slow,warm,mild,moderate hunger,cool,dry brittle,dark dry,uneven,bright,average,quick,quickly but inconsistently,light,dark,soft red,vatta
difficult to lose,slow,fast,warm,excessive,irregular appetite,dry,oily thick,red,uneven,red,forgets quickly,quick,quickly but inconsistently,light,redish,dull,vatta
average,fast,moderate,cold,excessive with strong odor,irregular appetite,dry,dry brittle,red,large,red,forgets quickly,peacefull,slowly but steadily,light,redish,dull,vatta
average,slow,fast,warm,mild,moderate hunger,dry,dry brittle,red,uneven,dark,forgets quickly,focused,slowly but steadily,deep,dark,dull,vatta
average,fast,fast,all,mild,always hunger,oily,straight soft,dark dry,large,dark,never forgets,peaceful,quickly but inconsistently,deep,redish,dull,vatta
lean,fast,fast,all,mild,moderate hunger,oily,dry brittle,dark dry,perfect,bright,average,focused,quickly but inconsistently,light,dark,dull,vatta
average,moderate,fast,warm,mild,irregular appetite,dry,oily thick,red,uneven,bright,forgets quickly,focused,promptly and decisively,light,pale,soft red,vatta
average,slow,fast,warm,excessive,irregular appetite,dry,oily thick,dark up red bottom,uneven,red,average,quick,quickly but inconsistently,sound,dark,dull,vatta
difficult to lose,moderate,fast,warm,excessive,always hunger,cool,oily thick,red,large,red,forgets quickly,focused,quickly but inconsistently,light,dark,soft red,vatta
lean,fast,moderate,cold,mild,irregular appetite,dry,dry brittle,dark up red bottom,perfect,dark,average,peaceful,promptly and decisively,light,pale,soft red,vatta
lean,fast,fast,warm,mild,always hunger,cool,dry brittle,red,uneven,bright,average,quick,slowly but steadily,sound,dark,soft red,vatta
difficult to lose,fast,slow,cold,mild,irregular appetite,cool,dry brittle,dark up red bottom,uneven,red,forgets quickly,focused,quickly but inconsistently,light,redish,dull,vatta
difficult to lose,fast,moderate,cold,excessive,moderate hunger,oily,dry brittle,dark up red bottom,large,dark,forgets quickly,peaceful,quickly but inconsistently,sound,dark,dull,vatta
lean,slow,moderate,cold,excessive,moderate hunger,dry,oily thick,dark up red bottom,uneven,dark,forgets quickly,quick,slowly but steadily,sound,dark,dull,vatta
difficult to lose,moderate,moderate,warm,excessive,irregular appetite,oily,dry brittle,red,uneven,dark,average,quick,quickly but inconsistently,light,redish,dull,vatta
average,fast,slow,all,mild,irregular appetite,dry,straight soft,red,perfect,dark,never forgets,peacefull,quickly but inconsistently,sound,dark,dull,vatta
lean,fast,slow,warm,excessive,always hunger,cool,dry brittle,dark up red bottom,large,red,average,focused,quickly but inconsistently,light,redish,dull,vatta
difficult to lose,moderate,moderate,cold,mild,irregular appetite,dry,dry brittle,dark dry,large,dark,forgets quickly,focused,promptly and decisively,deep,redish,pale,vatta
lean,fast,moderate,all,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,perfect,dark,average,peaceful,promptly and decisively,deep,redish,soft red,vatta
difficult to lose,slow,slow,warm,mild,moderate hunger,cool,dry brittle,dark dry,perfect,dark,never forgets,quick,promptly and decisively,light,dark,soft red,vatta
average,fast,fast,cold,mild,moderate hunger,cool,straight soft,red,large,dark,forgets quickly,focused,slowly but steadily,light,pale,dull,vatta
difficult to lose,slow,fast,all,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,uneven,dark,forgets quickly,peaceful,quickly but inconsistently,sound,dark,pale,vatta
lean,fast,slow,cold,mild,irregular appetite,dry,straight soft,dark dry,perfect,bright,average,peacefull,promptly and decisively,deep,dark,dull,vatta
difficult to lose,moderate,fast,all,mild,irregular appetite,cool,dry brittle,dark up red bottom,large,dark,average,quick,slowly but steadily,sound,redish,soft red,vatta
lean,fast,fast,cold,excessive with strong odor,irregular appetite,cool,dry brittle,dark up red bottom,perfect,dark,forgets quickly,peacefull,quickly but inconsistently,light,redish,soft red,vatta
average,moderate,slow,warm,mild,irregular appetite,oily,straight soft,red,large,bright,forgets quickly,quick,slowly but steadily,sound,dark,soft red,vatta
difficult to lose,fast,slow,warm,mild,irregular appetite,dry,dry brittle,dark dry,large,bright,forgets quickly,quick,promptly and decisively,light,redish,pale,vatta
average,fast,fast,warm,mild,irregular appetite,cool,oily thick,red,large,dark,forgets quickly,peacefull,promptly and decisively,sound,pale,soft red,vatta
lean,slow,fast,cold,excessive,irregular appetite,dry,dry brittle,dark up red bottom,perfect,red,never forgets,focused,slowly but steadily,light,redish,dull,vatta
difficult to lose,moderate,fast,cold,excessive with strong odor,irregular appetite,dry,straight soft,dark dry,perfect,bright,forgets quickly,quick,quickly but inconsistently,deep,redish,dull,vatta
difficult to lose,fast,fast,all,excessive,irregular appetite,dry,straight soft,dark dry,uneven,bright,average,quick,promptly and decisively,light,pale,soft red,vatta
lean,fast,fast,cold,excessive,always hunger,cool,straight soft,dark dry,large,dark,never forgets,quick,quickly but inconsistently,deep,dark,dull,vatta
average,slow,slow,cold,excessive,irregular appetite,dry,oily thick,dark dry,perfect,bright,never forgets,quick,quickly but inconsistently,light,dark,dull,vatta
difficult to lose,slow,slow,all,excessive,irregular appetite,cool,dry brittle,dark up red bottom,large,bright,forgets quickly,quick,promptly and decisively,light,redish,dull,vatta
lean,moderate,fast,all,mild,moderate hunger,dry,dry brittle,dark dry,uneven,dark,never forgets,peacefull,slowly but steadily,light,redish,pale,vatta
lean,fast,moderate,warm,mild,irregular appetite,cool,dry brittle,red,uneven,dark,never forgets,quick,quickly but inconsistently,light,dark,pale,vatta
lean,fast,fast,warm,mild,moderate hunger,oily,dry brittle,dark dry,large,red,forgets quickly,focused,quickly but inconsistently,sound,pale,pale,vatta
average,fast,fast,all,excessive with strong odor,moderate hunger,oily,oily thick,dark dry,large,dark,average,quick,promptly and decisively,light,pale,pale,vatta
lean,slow,fast,all,mild,irregular appetite,dry,dry brittle,dark dry,perfect,dark,forgets quickly,quick,promptly and decisively,light,dark,dull,vatta
average,slow,slow,cold,mild,irregular appetite,dry,straight soft,dark up red bottom,uneven,dark,average,focused,quickly but inconsistently,light,dark,dull,vatta
lean,fast,fast,cold,mild,moderate hunger,cool,oily thick,dark up red bottom,perfect,dark,average,quick,quickly but inconsistently,sound,redish,soft red,vatta
lean,slow,moderate,warm,mild,irregular appetite,cool,dry brittle,dark up red bottom,large,dark,average,quick,quickly but inconsistently,sound,dark,soft red,vatta
difficult to lose,fast,fast,warm,excessive with strong odor,irregular appetite,cool,straight soft,dark up red bottom,perfect,dark,forgets quickly,focused,quickly but inconsistently,light,dark,dull,vatta
lean,slow,fast,all,mild,moderate hunger,dry,dry brittle,dark up red bottom,large,red,average,quick,promptly and decisively,sound,redish,pale,vatta
lean,fast,slow,cold,mild,irregular appetite,dry,dry brittle,dark up red bottom,uneven,red,forgets quickly,peacefull,slowly but steadily,sound,redish,pale,vatta
lean,slow,fast,cold,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,perfect,red,average,peacefull,quickly but inconsistently,light,dark,pale,vatta
average,moderate,moderate,all,mild,irregular appetite,dry,straight soft,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,light,pale,dull,vatta
lean,slow,fast,all,mild,irregular appetite,cool,oily thick,red,uneven,red,average,peacefull,quickly but inconsistently,sound,dark,dull,vatta
average,slow,slow,warm,mild,always hunger,dry,dry brittle,dark dry,uneven,dark,average,focused,quickly but inconsistently,light,pale,dull,vatta
lean,fast,moderate,cold,mild,irregular appetite,oily,oily thick,dark dry,large,dark,forgets quickly,peaceful,quickly but inconsistently,sound,redish,pale,vatta
average,fast,fast,warm,mild,moderate hunger,oily,dry brittle,dark dry,uneven,red,never forgets,peacefull,promptly and decisively,deep,pale,dull,vatta
lean,slow,fast,warm,excessive,moderate hunger,oily,dry brittle,red,uneven,dark,forgets quickly,quick,slowly but steadily,light,dark,dull,vatta
average,slow,fast,warm,excessive,always hunger,dry,straight soft,dark dry,perfect,red,forgets quickly,peacefull,quickly but inconsistently,light,redish,dull,vatta
average,fast,fast,warm,mild,moderate hunger,dry,straight soft,dark dry,large,red,forgets quickly,peaceful,quickly but inconsistently,light,dark,dull,vatta
lean,fast,slow,warm,excessive,irregular appetite,oily,dry brittle,dark up red bottom,large,bright,forgets quickly,peacefull,slowly but steadily,sound,pale,soft red,vatta
difficult to lose,fast,fast,cold,mild,always hunger,oily,dry brittle,dark up red bottom,large,dark,forgets quickly,focused,promptly and decisively,light,dark,soft red,vatta
lean,moderate,fast,all,mild,moderate hunger,dry,straight soft,dark up red bottom,perfect,bright,forgets quickly,focused,quickly but inconsistently,light,pale,dull,vatta
lean,moderate,slow,cold,mild,irregular appetite,oily,dry brittle,red,large,dark,never forgets,focused,quickly but inconsistently,light,dark,pale,vatta
difficult to lose,fast,moderate,all,mild,always hunger,dry,dry brittle,dark dry,large,dark,average,focused,promptly and decisively,deep,dark,pale,vatta
average,fast,fast,all,excessive with strong odor,always hunger,cool,oily thick,dark dry,uneven,red,forgets quickly,quick,quickly but inconsistently,deep,pale,dull,vatta
lean,fast,slow,warm,excessive,moderate hunger,oily,oily thick,dark dry,perfect,red,average,quick,quickly but inconsistently,deep,dark,soft red,vatta
average,moderate,moderate,all,mild,irregular appetite,cool,straight soft,dark up red bottom,large,bright,never forgets,quick,quickly but inconsistently,light,redish,dull,vatta
lean,slow,fast,cold,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,large,dark,average,peacefull,promptly and decisively,sound,dark,dull,vatta
lean,moderate,slow,cold,excessive,always hunger,dry,oily thick,dark dry,large,red,forgets quickly,quick,slowly but steadily,light,redish,pale,vatta
average,moderate,fast,warm,excessive,irregular appetite,dry,dry brittle,red,uneven,red,forgets quickly,quick,quickly but inconsistently,light,redish,dull,vatta
lean,fast,slow,warm,mild,always hunger,dry,dry brittle,dark dry,large,red,average,quick,slowly but steadily,deep,dark,soft red,vatta
lean,moderate,moderate,warm,mild,irregular appetite,oily,dry brittle,red,perfect,dark,never forgets,quick,slowly but steadily,light,redish,dull,vatta
difficult to lose,slow,fast,all,mild,moderate hunger,cool,dry brittle,dark dry,uneven,dark,forgets quickly,focused,promptly and decisively,light,redish,dull,vatta
difficult to lose,moderate,fast,warm,excessive with strong odor,always hunger,dry,oily thick,red,large,dark,forgets quickly,focused,quickly but inconsistently,deep,dark,dull,vatta
difficult to lose,fast,slow,warm,excessive with strong odor,always hunger,oily,dry brittle,red,large,dark,average,focused,slowly but steadily,light,redish,dull,vatta
difficult to lose,fast,slow,cold,excessive with strong odor,irregular appetite,dry,oily thick,dark dry,large,bright,never forgets,focused,quickly but inconsistently,light,dark,soft red,vatta
average,fast,fast,warm,excessive with strong odor,always hunger,cool,straight soft,red,perfect,red,forgets quickly,quick,slowly but steadily,light,redish,dull,vatta
lean,fast,slow,all,excessive with strong odor,always hunger,dry,oily thick,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,light,redish,dull,vatta
difficult to lose,moderate,slow,all,mild,irregular appetite,dry,dry brittle,dark dry,large,red,never forgets,focused,slowly but steadily,sound,pale,dull,vatta
lean,moderate,slow,warm,mild,irregular appetite,oily,oily thick,dark dry,uneven,red,average,peaceful,quickly but inconsistently,light,dark,pale,vatta
average,slow,slow,cold,mild,irregular appetite,oily,oily thick,dark dry,large,dark,forgets quickly,quick,slowly but steadily,sound,dark,soft red,vatta
difficult to lose,slow,slow,all,excessive,always hunger,oily,dry brittle,dark dry,large,bright,forgets quickly,quick,quickly but inconsistently,light,redish,soft red,vatta
lean,moderate,moderate,all,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,large,dark,average,focused,quickly but inconsistently,light,pale,dull,vatta
average,moderate,moderate,all,excessive,irregular appetite,dry,dry brittle,dark dry,perfect,dark,average,peaceful,quickly but inconsistently,deep,dark,soft red,vatta
difficult to lose,fast,moderate,all,excessive,irregular appetite,dry,dry brittle,dark dry,large,dark,never forgets,focused,promptly and decisively,deep,redish,soft red,vatta
difficult to lose,moderate,moderate,all,excessive with strong odor,irregular appetite,dry,dry brittle,dark dry,perfect,dark,forgets quickly,focused,quickly but inconsistently,deep,redish,pale,vatta
lean,moderate,slow,warm,mild,always hunger,dry,dry brittle,dark dry,perfect,dark,forgets quickly,quick,promptly and decisively,light,redish,dull,vatta
lean,slow,slow,warm,excessive,irregular appetite,oily,oily thick,red,large,dark,average,peacefull,quickly but inconsistently,sound,redish,dull,vatta
lean,moderate,fast,all,mild,always hunger,oily,dry brittle,dark dry,large,red,never forgets,quick,slowly but steadily,deep,pale,pale,vatta
average,fast,fast,all,excessive,moderate hunger,dry,oily thick,dark dry,large,bright,average,quick,quickly but inconsistently,deep,dark,pale,vatta
average,fast,moderate,warm,mild,irregular appetite,dry,straight soft,dark up red bottom,large,bright,forgets quickly,peacefull,slowly but steadily,light,dark,pale,vatta
lean,slow,fast,warm,excessive with strong odor,irregular appetite,oily,straight soft,dark dry,uneven,dark,average,quick,quickly but inconsistently,light,dark,pale,vatta
lean,slow,moderate,all,excessive with strong odor,irregular appetite,cool,oily thick,red,large,bright,forgets quickly,quick,quickly but inconsistently,sound,dark,dull,vatta
lean,slow,fast,all,excessive,always hunger,dry,dry brittle,red,uneven,bright,forgets quickly,quick,quickly but inconsistently,deep,dark,pale,vatta
difficult to lose,moderate,moderate,cold,mild,moderate hunger,oily,oily thick,dark dry,large,bright,forgets quickly,quick,slowly but steadily,deep,dark,dull,vatta
lean,fast,moderate,all,excessive with strong odor,always hunger,dry,dry brittle,dark up red bottom,perfect,dark,forgets quickly,focused,quickly but inconsistently,deep,dark,pale,vatta
lean,fast,fast,cold,excessive,irregular appetite,dry,dry brittle,dark up red bottom,uneven,dark,average,quick,slowly but steadily,sound,pale,pale,vatta
difficult to lose,fast,fast,warm,excessive,moderate hunger,oily,dry brittle,dark dry,perfect,dark,forgets quickly,quick,slowly but steadily,deep,pale,soft red,vatta
lean,fast,slow,all,excessive with strong odor,irregular appetite,oily,oily thick,dark up red bottom,uneven,dark,average,peacefull,promptly and decisively,light,dark,dull,vatta
difficult to lose,fast,fast,warm,excessive,always hunger,dry,dry brittle,dark up red bottom,perfect,dark,average,peacefull,promptly and decisively,light,dark,pale,vatta
difficult to lose,fast,fast,cold,excessive,irregular appetite,cool,dry brittle,dark up red bottom,uneven,bright,never forgets,quick,quickly but inconsistently,deep,pale,dull,vatta
average,slow,fast,warm,excessive,moderate hunger,dry,dry brittle,dark up red bottom,uneven,dark,average,quick,quickly but inconsistently,light,redish,dull,vatta
difficult to lose,fast,slow,warm,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,perfect,red,forgets quickly,quick,quickly but inconsistently,light,dark,pale,vatta
lean,fast,moderate,cold,excessive with strong odor,irregular appetite,dry,straight soft,dark dry,perfect,bright,never forgets,quick,slowly but steadily,deep,redish,dull,vatta
average,fast,moderate,warm,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,uneven,bright,forgets quickly,peacefull,quickly but inconsistently,light,pale,dull,vatta
lean,fast,slow,all,excessive,always hunger,oily,oily thick,dark up red bottom,large,dark,never forgets,quick,quickly but inconsistently,sound,dark,pale,vatta
average,fast,fast,warm,excessive with strong odor,irregular appetite,cool,oily thick,dark dry,large,red,average,peacefull,quickly but inconsistently,sound,pale,pale,vatta
average,slow,fast,warm,mild,irregular appetite,cool,dry brittle,dark dry,uneven,red,forgets quickly,focused,slowly but steadily,light,dark,dull,vatta
lean,fast,slow,warm,excessive with strong odor,moderate hunger,oily,straight soft,dark up red bottom,uneven,red,average,quick,slowly but steadily,light,dark,dull,vatta
average,slow,slow,all,mild,irregular appetite,dry,oily thick,dark dry,uneven,dark,forgets quickly,focused,slowly but steadily,sound,dark,dull,vatta
difficult to lose,fast,moderate,warm,mild,irregular appetite,oily,dry brittle,red,uneven,red,forgets quickly,focused,quickly but inconsistently,light,dark,soft red,vatta
lean,moderate,moderate,warm,excessive,moderate hunger,cool,oily thick,dark dry,large,bright,forgets quickly,quick,quickly but inconsistently,deep,dark,pale,vatta
average,slow,slow,warm,excessive with strong odor,irregular appetite,cool,dry brittle,dark up red bottom,large,dark,forgets quickly,quick,promptly and decisively,light,dark,soft red,vatta
difficult to lose,fast,fast,all,mild,always hunger,oily,dry brittle,dark up red bottom,perfect,dark,never forgets,quick,promptly and decisively,light,pale,pale,vatta
average,moderate,moderate,warm,mild,moderate hunger,dry,dry brittle,red,large,dark,forgets quickly,peaceful,quickly but inconsistently,deep,dark,dull,vatta
difficult to lose,slow,moderate,all,mild,moderate hunger,oily,dry brittle,dark dry,large,red,average,quick,slowly but steadily,light,redish,dull,vatta
average,moderate,slow,cold,mild,irregular appetite,dry,dry brittle,red,large,dark,never forgets,quick,quickly but inconsistently,sound,dark,soft red,vatta
lean,fast,slow,cold,excessive with strong odor,irregular appetite,dry,straight soft,dark dry,large,bright,never forgets,focused,quickly but inconsistently,light,pale,soft red,vatta
average,moderate,fast,warm,mild,irregular appetite,dry,oily thick,dark dry,uneven,dark,never forgets,focused,slowly but steadily,deep,redish,pale,vatta
difficult to lose,fast,slow,cold,mild,irregular appetite,dry,oily thick,dark up red bottom,perfect,red,forgets quickly,peaceful,promptly and decisively,light,redish,pale,vatta
average,slow,moderate,warm,excessive with strong odor,moderate hunger,oily,straight soft,dark dry,large,dark,forgets quickly,focused,quickly but inconsistently,light,dark,soft red,vatta
average,moderate,fast,cold,excessive with strong odor,moderate hunger,oily,straight soft,red,large,bright,forgets quickly,quick,quickly but inconsistently,light,dark,pale,vatta
lean,slow,slow,all,excessive,always hunger,dry,dry brittle,dark dry,large,dark,forgets quickly,focused,promptly and decisively,light,pale,soft red,vatta
difficult to lose,fast,fast,cold,excessive with strong odor,irregular appetite,cool,oily thick,red,large,dark,forgets quickly,focused,slowly but steadily,light,redish,soft red,vatta
lean,moderate,moderate,warm,excessive,always hunger,dry,dry brittle,dark dry,perfect,dark,never forgets,focused,promptly and decisively,deep,dark,dull,vatta
lean,moderate,slow,cold,excessive with strong odor,moderate hunger,dry,oily thick,dark dry,large,dark,forgets quickly,quick,slowly but steadily,sound,pale,dull,vatta
lean,fast,slow,warm,excessive,irregular appetite,dry,oily thick,red,large,bright,forgets quickly,quick,promptly and decisively,deep,redish,soft red,vatta
lean,fast,fast,all,mild,irregular appetite,dry,straight soft,dark dry,uneven,bright,never forgets,peaceful,slowly but steadily,light,dark,dull,vatta
difficult to lose,fast,moderate,cold,excessive with strong odor,irregular appetite,cool,dry brittle,dark dry,uneven,dark,forgets quickly,quick,promptly and decisively,deep,redish,pale,vatta
lean,fast,moderate,warm,mild,irregular appetite,oily,straight soft,dark dry,uneven,dark,never forgets,focused,promptly and decisively,light,redish,pale,vatta
average,fast,fast,all,mild,moderate hunger,dry,dry brittle,dark dry,uneven,dark,forgets quickly,focused,promptly and decisively,deep,redish,dull,vatta
average,fast,moderate,warm,excessive,irregular appetite,cool,dry brittle,dark dry,perfect,red,forgets quickly,focused,quickly but inconsistently,deep,pale,dull,vatta
lean,fast,fast,warm,excessive,moderate hunger,oily,oily thick,red,large,dark,never forgets,focused,quickly but inconsistently,light,dark,dull,vatta
average,fast,fast,cold,mild,irregular appetite,cool,dry brittle,dark dry,perfect,bright,average,peacefull,promptly and decisively,light,dark,soft red,vatta
difficult to lose,slow,fast,cold,mild,moderate hunger,dry,dry brittle,dark up red bottom,uneven,dark,never forgets,peacefull,slowly but steadily,sound,dark,dull,vatta
